seq,ff,Thread,OMP
266139051,53842783,26771692,22783643
266139051,36705522,14679042,13891192
266139051,31341711,14229814,13917179
266139051,33031826,14420164,14550644
266139051,33980573,14614035,14743631
266139051,35079584,15916699,15408995
266139051,42446624,16515640,15936307
266139051,37510324,16686355,16117555
266139051,36366779,17056857,17033507
266139051,39334206,18009133,17469902
266139051,38085870,18465876,18101618
266139051,39709129,19846177,18571666
266139051,38625947,20692293,19282021
266139051,41404245,22135263,20206892
266139051,43563659,22320431,21824110
266139051,44222257,24411458,22304542
